hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3706    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
      987    0.001    0.000    0.001    0.000 cpu_options.py:114(__init__)
     1783    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
       30    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
      167    0.001    0.000    0.040    0.000 templates.py:1021(_get_target_registry)
     1414    0.001    0.000    0.004    0.000 re.py:188(match)
      409    0.001    0.000    0.003    0.000 font_manager.py:951(_json_decode)
      316    0.001    0.000    0.001    0.000 enum.py:65(__setitem__)
       11    0.001    0.000    0.056    0.005 artist.py:1452(pprint_setters)
     3940    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        2    0.001    0.000    0.001    0.000 {built-in method nt.open}
       72    0.001    0.000    0.009    0.000 __init__.py:1278(_preprocess_data)
     2329    0.001    0.000    0.001    0.000 {built-in method from_bytes}
       99    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      917    0.001    0.000    0.002    0.000 templates.py:1217(register)
      256    0.001    0.000    0.119    0.000 __init__.py:2047(find_on_path)
      163    0.001    0.000    0.011    0.000 extending.py:205(decorate)
      948    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
       18    0.001    0.000    0.001    0.000 data.py:131(_create_method)
      456    0.001    0.000    0.004    0.000 deprecation.py:9(wrap)
      802    0.001    0.000    0.004    0.000 ffi.py:73(__exit__)
     2229    0.001    0.000    0.002    0.000 abstract.py:123(__ne__)
     3265    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       32    0.001    0.000    0.001    0.000 enum.py:178(<setcomp>)
      802    0.001    0.000    0.004    0.000 ffi.py:67(__enter__)
      101    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
     2705    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      254    0.001    0.000    0.001    0.000 enum.py:852(__and__)
      256    0.001    0.000    0.018    0.000 __init__.py:2064(<genexpr>)
      522    0.001    0.000    0.028    0.000 __init__.py:2774(_get_metadata)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
     1614    0.001    0.000    0.001    0.000 event.py:50(_guard_kind)
       88    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
      814    0.001    0.000    0.025    0.000 inspect.py:3128(signature)
      819    0.001    0.000    0.001    0.000 __init__.py:2646(key)
     1662    0.001    0.000    0.001    0.000 abstract.py:19(_autoincr)
      535    0.001    0.000    0.001    0.000 {built-in method sys.intern}
        1    0.001    0.001    0.001    0.001 _methods.py:65(_count_reduce_items)
      461    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
     1995    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
2010/1447    0.001    0.000    0.003    0.000 abc.py:100(__subclasscheck__)
     1868    0.001    0.000    0.001    0.000 version.py:226(<genexpr>)
      881    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
    205/4    0.001    0.000    0.002    0.000 pyparsing.py:1370(_parseNoCache)
      428    0.001    0.000    0.015    0.000 rcsetup.py:377(validate_color)
     3271    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      180    0.001    0.000    0.001    0.000 __init__.py:391(__getitem__)
      802    0.001    0.000    0.001    0.000 sre_compile.py:423(_simple)
        1    0.001    0.001    0.001    0.001 __init__.py:326(<listcomp>)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      318    0.001    0.000    0.004    0.000 dylib.py:15(add_symbol)
      178    0.001    0.000    0.008    0.000 overload_glue.py:128(_build)
      101    0.001    0.000    0.007    0.000 <frozen zipimport>:63(__init__)
      381    0.001    0.000    0.001    0.000 enum.py:379(__setattr__)
     1602    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      506    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
      244    0.001    0.000    0.007    0.000 __init__.py:1325(safe_version)
      293    0.001    0.000    0.003    0.000 __init__.py:1493(_validate_resource_path)
        1    0.001    0.001    0.001    0.001 hermite_e.py:1(<module>)
        1    0.001    0.001    0.001    0.001 byteflow.py:265(TraceRunner)
      108    0.001    0.000    0.007    0.000 docstring.py:38(__call__)
     1519    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      643    0.001    0.000    0.001    0.000 __init__.py:2821(__getattr__)
      948    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
      429    0.001    0.000    0.001    0.000 artist.py:1429(aliased_name)
      254    0.000    0.000    0.025    0.000 sre_compile.py:598(_code)
     4663    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      293    0.000    0.000    0.005    0.000 __init__.py:1487(_fn)
       70    0.000    0.000    0.001    0.000 ntpath.py:450(normpath)
      814    0.000    0.000    0.024    0.000 inspect.py:2876(from_callable)
        3    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
      469    0.000    0.000    0.002    0.000 ntpath.py:203(splitext)
        6    0.000    0.000    0.000    0.000 {built-in method gc.collect}
      288    0.000    0.000    0.003    0.000 function_base.py:475(add_newdoc)
     1049    0.000    0.000    0.002    0.000 ffi.py:93(__getattr__)
     1018    0.000    0.000    0.001    0.000 imputils.py:37(decorate)
     3048    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      101    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1515(<setcomp>)
      160    0.000    0.000    0.002    0.000 shape_base.py:612(column_stack)
      914    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       44    0.000    0.000    0.001    0.000 dispatcher.py:260(__init__)
      701    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      872    0.000    0.000    0.002    0.000 colors.py:132(_is_nth_color)
       44    0.000    0.000    0.046    0.001 dispatcher.py:821(__init__)
      245    0.000    0.000    0.007    0.000 templates.py:1244(decorate)
